Naruto, Character's physical attributes are based off of the start of Shippuden. Info sourced from the Naruto wiki
Star Wars, Character's physical attributes are based off of their introduction. Info sourced from Wookiepedia
MCU, Character's physical attributes are based off of their introduction. Info sourced from the MCU wiki
Halo, Character's physical attributes are based off of their introduction. Info sourced from the Halo wiki
Pokemon, A Pokemon's primary type is used. Info sourced from pokemondb.net.
Harry Potter, For those who did not go to Hogwarts House will be None. Info sourced from Harry Potter wiki.
Lord of The Rings, Info sourced from the Lord of the Rings wiki.
DC Comics, Debut is the comic edition the character first appeared in.
Game of Thrones, Information and debut is based off of the books. Info sourced from the wiki.
Star Trek, Debut category tells which show TV series or movie they first appeared in. Info sourced from the wiki.
One piece, Physical attributes are based off of their debut. Info source from the wiki.
